,property_type,seller,status,rate per sqft,price,area,location,RERA
475,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1.06 Cr,1980 ,Jeedimetla,approval by RERA
476,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1.09 Cr,2030 ,Jeedimetla,approval by RERA
477,2 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 59.38 L,1100 ,Jeedimetla,approval by RERA
478,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 98.8 L,1830 ,Jeedimetla,approval by RERA
479,2 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 66.4 L,1230 ,Jeedimetla,approval by RERA
480,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 86.65 L,1605 ,Jeedimetla,approval by RERA
481,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1.12 Cr,2080 ,Jeedimetla,approval by RERA
482,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1.34 Cr,2495 ,Jeedimetla,approval by RERA
483,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.95 Cr,4540 ,Tukkuguda,approval by RERA
484,2 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 64.51 L,1195 ,Jeedimetla,approval by RERA
485,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.95 Cr,4540 ,Tukkuguda,approval by RERA
486,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.94 Cr,4528 ,Tukkuguda,approval by RERA
487,4 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1.63 Cr,3030 ,Jeedimetla,approval by RERA
488,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.94 Cr,4528 ,Tukkuguda,approval by RERA
489,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.76 Cr,4261 ,Tukkuguda,approval by RERA
490,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.76 Cr,4261 ,Tukkuguda,approval by RERA
491,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1.03 Cr,1915 ,Jeedimetla,approval by RERA
492,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1.39 Cr,2590 ,Jeedimetla,approval by RERA
493,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 3.01 Cr,4634 ,Tukkuguda,approval by RERA
494,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 3.01 Cr,4634 ,Tukkuguda,approval by RERA
495,4 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1.7 Cr,3150 ,Jeedimetla,approval by RERA
496,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.35 Cr,3624 ,Tukkuguda,approval by RERA
497,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.35 Cr,3624 ,Tukkuguda,approval by RERA
498,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1.18 Cr,2200 ,Jeedimetla,approval by RERA
499,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.73 Cr,4206 ,Tukkuguda,approval by RERA
500,4 BHK Villa in Riddhi Laxman County,Riddhi Group,Under Construction,"6,500 / sq ft", 2.73 Cr,4206 ,Tukkuguda,approval by RERA
501,2 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 61.27 L,1135 ,Jeedimetla,approval by RERA
502,3 BHK Apartment in Riddhi Pramukh Elegance,Riddhi Group,Under Construction,"5,399 / sq ft", 1 Cr,1865 ,Jeedimetla,approval by RERA
503,2 BHK Apartment,seller,Ready to move,"3,345 / sq ft", 37 L,1106 ,Ramachandra Puram,not approval by RERA
504,2 BHK Apartment,seller,Under Construction,"2,500 / sq ft", 30 L,1200 ,Boduppal,not approval by RERA
505,2 BHK Apartment,seller,Ready to move,"5,535 / sq ft", 45 L,813 ,Vanasthalipuram,not approval by RERA
506,3 BHK Villa,seller,Ready to move,"7,826 / sq ft", 1.8 Cr,2300 ,Patancheru,not approval by RERA
507,3 BHK Independent House,seller,Ready to move,"4,761 / sq ft", 45 L,945 ,chandrayangutta,not approval by RERA
508,2 BHK Independent House,seller,Ready to move,"6,457 / sq ft", 70 L,1084 ,Dammaiguda,not approval by RERA
