,property_type,seller,status,rate per sqft,price,area,location,RERA
631,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 1.01 Cr,1636 ,Manikonda,not approval by RERA
632,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 81.09 L,1308 ,Manikonda,not approval by RERA
633,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 77.62 L,1252 ,Manikonda,not approval by RERA
634,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 1.08 Cr,1750 ,Manikonda,not approval by RERA
635,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 1.13 Cr,1827 ,Manikonda,not approval by RERA
636,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 80.47 L,1298 ,Manikonda,not approval by RERA
637,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 1.01 Cr,1630 ,Manikonda,not approval by RERA
638,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 99.88 L,1611 ,Manikonda,not approval by RERA
639,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 96.1 L,1550 ,Manikonda,not approval by RERA
640,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 99.88 L,1611 ,Manikonda,not approval by RERA
641,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 96.1 L,1550 ,Manikonda,not approval by RERA
642,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 79.42 L,1281 ,Manikonda,not approval by RERA
643,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 1.1 Cr,1785 ,Manikonda,not approval by RERA
644,2 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 78.18 L,1261 ,Manikonda,not approval by RERA
645,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 1.06 Cr,1718 ,Manikonda,not approval by RERA
646,3 BHK Apartment in Anuhar Art Of Living,Anuhar Homes Pvt Ltd,Ready to move,"6,200 / sq ft", 1.07 Cr,1730 ,Manikonda,not approval by RERA
647,2 BHK Apartment,seller,Under Construction,"2,799 / sq ft", 32.04 L,1145 ,Kollur,not approval by RERA
648,2 BHK Apartment,seller,Under Construction,"4,110 / sq ft", 52 L,1265 ,Kollur,not approval by RERA
649,3 BHK Apartment,seller,Under Construction,"5,000 / sq ft", 90 L,1800 ,Khajaguda Nanakramguda Road,not approval by RERA
650,3 BHK Apartment,seller,Under Construction,"5,812 / sq ft", 93 L,1600 ,Dilsukh Nagar,not approval by RERA
651,3 BHK Apartment in Swaraj Homes Satya Krishna Shri Sampada,seller,Ready to move,"6,031 / sq ft", 95 L,1575 ,Begumpet,not approval by RERA
652,2 BHK Apartment,seller,Under Construction,"4,000 / sq ft", 40 L,1000 ,Kondapur,not approval by RERA
653,2 BHK Apartment,seller,Ready to move,"4,397 / sq ft", 42 L,955 ,Miyapur,not approval by RERA
654,2 BHK Apartment,seller,Ready to move,"3,781 / sq ft", 45 L,1190 ,Hafeezpet,not approval by RERA
655,2 BHK Independent House,seller,Ready to move,"6,647 / sq ft", 70 L,1053 ,Chengicherla,not approval by RERA
656,2 BHK Apartment,seller,Under Construction,"5,492 / sq ft", 53 L,965 ,Bandlaguda Jagir,not approval by RERA
657,3 BHK Apartment in Primark Cygnus,seller,Ready to move,"6,906 / sq ft", 1.15 Cr,1665 ,Gopanpally,not approval by RERA
658,2 BHK Apartment in SNR The Elite,seller,Under Construction,"5,425 / sq ft", 69.99 L,1290 ,Gopanpally,approval by RERA
659,3 BHK Apartment in  Apartment,seller,Under Construction,"4,501 / sq ft", 71.35 L,1585 ,Chandanagar,approval by RERA
660,3 BHK Independent House,seller,Ready to move,"8,205 / sq ft", 1.6 Cr,1950 ,Bandlaguda Jagir,not approval by RERA
661,3 BHK Apartment,seller,Ready to move,"5,219 / sq ft", 1.25 Cr,2395 ,Attapur,not approval by RERA
662,2 BHK Apartment,seller,Ready to move,"7,211 / sq ft", 75 L,1040 ,Nallakunta,not approval by RERA
663,4 BHK Independent House,seller,Ready to move,"4,690 / sq ft", 1.29 Cr,2750 ,Bolarum,not approval by RERA
664,2 BHK Apartment in SMR Vinay Iconia Phase 2,seller,Under Construction,"8,143 / sq ft", 1.25 Cr,1535 ,Serilingampally,approval by RERA
665,3 BHK Independent House,seller,Ready to move,"29,615 / sq ft", 3.85 Cr,1300 ,Serilingampally,not approval by RERA
666,2 BHK Villa,seller,Under Construction,"10,705 / sq ft", 1.67 Cr,1560 ,Kapra,not approval by RERA
667,10 BHK Independent House,seller,Ready to move,"4,561 / sq ft", 2.59 Cr,5700 ,Meerpet,not approval by RERA
668,2 BHK Apartment,seller,Under Construction,"3,750 / sq ft", 35.62 L,950 ,Pocharam,not approval by RERA
669,2 BHK Apartment,seller,Under Construction,"4,000 / sq ft", 40 L,1000 ,Kondapur,not approval by RERA
670,3 BHK Apartment in Bricks Cyberwoods,seller,Under Construction,"5,899 / sq ft", 1 Cr,1695 ,Osman Nagar,approval by RERA
671,3 BHK Apartment,seller,Under Construction,"5,555 / sq ft", 1 Cr,1800 ,Khajaguda Nanakramguda Road,not approval by RERA
672,3 BHK Apartment,seller,Ready to move,"6,206 / sq ft", 1.35 Cr,2175 ,Manikonda,not approval by RERA
673,2 BHK Apartment in Beams 4 Blocks,seller,Under Construction,"5,533 / sq ft", 70 L,1265 ,Kompally,approval by RERA
674,2 BHK Independent House in VRR Nagaram,seller,Ready to move,"3,982 / sq ft", 62 L,1557 ,Nagaram,not approval by RERA
675,2 BHK Apartment,seller,Under Construction,"3,916 / sq ft", 47 L,1200 ,Aminpur,not approval by RERA
676,4 BHK Villa in Srinivasa Thiru Sankalp,seller,Ready to move,"9,200 / sq ft", 2.3 Cr,2500 ,Pragathi Nagar Kukatpally,not approval by RERA
677,2 BHK Apartment,seller,Ready to move,"5,046 / sq ft", 54 L,1070 ,Kothapet,not approval by RERA
678,1 BHK Apartment in Manasvy Heights,seller,Under Construction,"3,555 / sq ft", 32 L,900 ,Miyapur,approval by RERA
679,3 BHK Villa in Sri Sai Nilayam,seller,Under Construction,"7,695 / sq ft", 2 Cr,2599 ,Patancheru,approval by RERA
680,5 BHK Independent House,seller,Ready to move,"5,777 / sq ft", 2.6 Cr,4500 ,Kukatpally,not approval by RERA
681,3 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 95.35 L,1538 ,Manikonda,approval by RERA
682,3 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 93.31 L,1505 ,Manikonda,approval by RERA
683,2 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 77.19 L,1245 ,Manikonda,approval by RERA
684,3 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 97.34 L,1570 ,Manikonda,approval by RERA
685,2 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 75.02 L,1210 ,Manikonda,approval by RERA
686,3 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 93.62 L,1510 ,Manikonda,approval by RERA
687,2 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 72.85 L,1175 ,Manikonda,approval by RERA
688,3 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 91.76 L,1480 ,Manikonda,approval by RERA
689,3 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 95.79 L,1545 ,Manikonda,approval by RERA
690,3 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 93.93 L,1515 ,Manikonda,approval by RERA
691,3 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 96.72 L,1560 ,Manikonda,approval by RERA
692,3 BHK Apartment in Riddhi Grandeur,Riddhi Group,Under Construction,"6,200 / sq ft", 93 L,1500 ,Manikonda,approval by RERA
693,3 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,199 / sq ft", 1.02 Cr,1963 ,Bandlaguda Jagir,approval by RERA
694,3 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,199 / sq ft", 1.05 Cr,2028 ,Bandlaguda Jagir,approval by RERA
695,2 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,199 / sq ft", 76.73 L,1476 ,Bandlaguda Jagir,approval by RERA
696,3 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,199 / sq ft", 93.78 L,1804 ,Bandlaguda Jagir,approval by RERA
697,2 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,199 / sq ft", 62.02 L,1193 ,Bandlaguda Jagir,approval by RERA
698,2 BHK Apartment in Vaishnavi Houdini,Vaishnavi Infracon India Pvt Ltd,Under Construction,"5,199 / sq ft", 65.97 L,1269 ,Bandlaguda Jagir,approval by RERA
699,2 BHK Apartment,seller,Ready to move,"10,384 / sq ft", 1.08 Cr,1040 ,Kukatpally,not approval by RERA
700,3 BHK Apartment in Booomy Jahanavis My Homes,seller,Under Construction,"5,500 / sq ft", 88 L,1600 ,Manikonda,approval by RERA
701,2 BHK Apartment in Jain Carlton Creek,seller,Ready to move,"7,246 / sq ft", 1 Cr,1380 ,Manikonda,not approval by RERA
702,5 BHK Villa,seller,Ready to move,"5,666 / sq ft", 1.69 Cr,3000 ,Gachibowli,not approval by RERA
703,5 BHK Villa,seller,Ready to move,"5,833 / sq ft", 1.75 Cr,3000 ,Gachibowli,not approval by RERA
704,2 BHK Apartment in Sai Pragathi Heaven,seller,Ready to move,"5,217 / sq ft", 60 L,1150 ,Uppal Kalan,not approval by RERA
705,3 BHK Apartment,seller,Under Construction,"4,133 / sq ft", 62 L,1500 ,Gandi Maisamma,not approval by RERA
706,2 BHK Independent House,seller,Ready to move,"6,500 / sq ft", 78 L,1200 ,Hayathnagar,not approval by RERA
707,3 BHK Independent House,seller,Ready to move,"4,500 / sq ft", 45 L,1000 ,Balapur,not approval by RERA
708,2 BHK Apartment in Trident Grande,seller,Ready to move,"5,106 / sq ft", 74 L,1449 ,Kompally,not approval by RERA
709,3 BHK Independent Floor,seller,Ready to move,"3,333 / sq ft", 60 L,1800 ,Medchal,not approval by RERA
710,2 BHK Apartment,seller,Ready to move,"4,579 / sq ft", 49 L,1070 ,Bandlaguda Jagir,not approval by RERA
711,2 BHK Apartment,seller,Ready to move,"18,000 / sq ft", 1.8 Cr,1000 ,Nawab Saheb Kunta,not approval by RERA
712,1 BHK Apartment,seller,Ready to move,"4,347 / sq ft", 25 L,575 ,Kukatpally,not approval by RERA
713,3 BHK Apartment,seller,Under Construction,"4,133 / sq ft", 62 L,1500 ,Gandi Maisamma,not approval by RERA
714,2 BHK Apartment,seller,Ready to move,"4,579 / sq ft", 49 L,1070 ,Bandlaguda Jagir,not approval by RERA
715,2 BHK Apartment,seller,Ready to move,"4,753 / sq ft", 53.72 L,1130 ,Karmanghat,not approval by RERA
716,3 BHK Independent Floor,seller,Ready to move,"5,696 / sq ft", 90 L,1580 ,Borabanda,not approval by RERA
717,4 BHK Villa,seller,Under Construction,"3,619 / sq ft", 76 L,2100 ,Zaheerabad,not approval by RERA
718,2 BHK Apartment in SSV Krishna Heights,seller,Under Construction,"4,300 / sq ft", 68.8 L,1600 ,Peerzadiguda,approval by RERA
719,3 BHK Apartment,seller,Ready to move,"5,120 / sq ft", 68 L,1328 ,Kukatpally,not approval by RERA
720,3 BHK Apartment,seller,Ready to move,"5,120 / sq ft", 68 L,1328 ,Kukatpally,not approval by RERA
721,3 BHK Apartment,seller,Under Construction,"6,250 / sq ft", 75 L,1200 ,Kompally,not approval by RERA
722,4 BHK Independent House,seller,Ready to move,"4,814 / sq ft", 65 L,1350 ,Chintalmet,not approval by RERA
723,2 BHK Apartment in Sai Pragathi Heaven,seller,Ready to move,"5,043 / sq ft", 58 L,1150 ,Uppal Kalan,not approval by RERA
724,3 BHK Independent Floor,seller,Ready to move,"10,952 / sq ft", 2.3 Cr,2100 ,Himayat Nagar,not approval by RERA
725,2 BHK Apartment,seller,Ready to move,"3,700 / sq ft", 37 L,1000 ,Isnapur,not approval by RERA
726,2 BHK Apartment,seller,Ready to move,"7,878 / sq ft", 91 L,1155 ,Masab Tank,not approval by RERA
727,3 BHK Independent House,seller,Ready to move,"6,750 / sq ft", 1.35 Cr,2000 ,Bairagiguda,not approval by RERA
728,2 BHK Apartment,seller,Ready to move,"4,046 / sq ft", 42 L,1038 ,Dammaiguda,not approval by RERA
729,10 BHK Independent House,seller,Ready to move,"3,480 / sq ft", 4.35 Cr,12500 ,Katedan Industrial Area,not approval by RERA
730,2 BHK Apartment,seller,Under Construction,"3,500 / sq ft", 42.35 L,1210 ,Boduppal,not approval by RERA
731,6 BHK Villa,seller,Ready to move,"6,543 / sq ft", 2.65 Cr,4050 ,Ghansi Bazaar,not approval by RERA
732,3 BHK Apartment,seller,Under Construction,"3,636 / sq ft", 44 L,1210 ,Narapally,not approval by RERA
733,3 BHK Apartment in Andhra Pradesh APHB Singapore Township,seller,Ready to move,"3,117 / sq ft", 53 L,1700 ,Pocharam,not approval by RERA
734,2 BHK Apartment,seller,Under Construction,"3,500 / sq ft", 42.35 L,1210 ,Pocharam,not approval by RERA
735,2 BHK Apartment,seller,Under Construction,"3,500 / sq ft", 42.87 L,1225 ,Pocharam,not approval by RERA
736,2 BHK Apartment,seller,Under Construction,"3,500 / sq ft", 43.22 L,1235 ,Pocharam,not approval by RERA
737,3 BHK Apartment,seller,Under Construction,"3,500 / sq ft", 61.77 L,1765 ,Pocharam,not approval by RERA
738,3 BHK Apartment,seller,Under Construction,"3,499 / sq ft", 71.92 L,2055 ,Pocharam,not approval by RERA
739,3 BHK Apartment,seller,Under Construction,"3,500 / sq ft", 71.93 L,2055 ,Pocharam,not approval by RERA
740,3 BHK Apartment,seller,Under Construction,"3,499 / sq ft", 78.39 L,2240 ,Pocharam,not approval by RERA
741,3 BHK Apartment,seller,Under Construction,"3,500 / sq ft", 78.4 L,2240 ,Pocharam,not approval by RERA
742,3 BHK Apartment,seller,Under Construction,"3,500 / sq ft", 60.2 L,1720 ,Pocharam,not approval by RERA
743,3 BHK Apartment,seller,Under Construction,"3,500 / sq ft", 60.2 L,1720 ,Pocharam,not approval by RERA
744,2 BHK Apartment,seller,Ready to move,"4,500 / sq ft", 54 L,1200 ,Nizampet,not approval by RERA
745,3 BHK Apartment in Vashista Icon,seller,Under Construction,"4,926 / sq ft", 64 L,1299 ,Chengicherla,approval by RERA
746,3 BHK Apartment,seller,Under Construction,"3,510 / sq ft", 60.2 L,1715 ,Pocharam,not approval by RERA
747,4 BHK Independent House,seller,Ready to move,"4,095 / sq ft", 1.15 Cr,2808 ,Santoshnagar,not approval by RERA
748,2 BHK Apartment in Swaraj Homes Padmaja Avenue,seller,Ready to move,"4,660 / sq ft", 48 L,1030 ,Kukatpally,not approval by RERA
749,2 BHK Apartment,seller,Ready to move,"4,600 / sq ft", 53.26 L,1158 ,Bachupally,not approval by RERA
750,3 BHK Apartment,seller,Under Construction,"6,000 / sq ft", 87 L,1450 ,Saidabad,not approval by RERA
751,2 BHK Apartment,seller,Ready to move,"4,186 / sq ft", 35 L,836 ,Ramachandra Puram,not approval by RERA
752,2 BHK Independent Floor,seller,Ready to move,"9,583 / sq ft", 1.15 Cr,1200 ,Nagaram,not approval by RERA
753,3 BHK Apartment in Hallmark Sunnyside,seller,Under Construction,"7,221 / sq ft", 1.24 Cr,1717 ,Manchirevula,approval by RERA
754,2 BHK Apartment,seller,Under Construction,"4,615 / sq ft", 60 L,1300 ,LB Nagar,not approval by RERA
755,2 BHK Apartment,seller,Under Construction,"2,500 / sq ft", 25 L,1000 ,Shankarpally Road,not approval by RERA
756,2 BHK Apartment,seller,Under Construction,"2,181 / sq ft", 24 L,1100 ,Medchal,not approval by RERA
757,3 BHK Apartment in Sunrise Square Block A,seller,Ready to move,"6,273 / sq ft", 91.9 L,1465 ,Kukatpally,not approval by RERA
758,3 BHK Independent House,seller,Ready to move,"3,315 / sq ft", 63 L,1900 ,Medchal,not approval by RERA
759,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 1.1 Cr,1836 ,Miyapur,approval by RERA
760,2 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 78.66 L,1311 ,Miyapur,approval by RERA
761,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 94.5 L,1575 ,Miyapur,approval by RERA
762,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 86.88 L,1448 ,Miyapur,approval by RERA
763,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 1.14 Cr,1908 ,Miyapur,approval by RERA
764,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 1.06 Cr,1775 ,Miyapur,approval by RERA
765,2 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 75.06 L,1251 ,Miyapur,approval by RERA
766,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 95.04 L,1584 ,Miyapur,approval by RERA
767,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 93.3 L,1555 ,Miyapur,approval by RERA
768,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 89.58 L,1493 ,Miyapur,approval by RERA
769,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 1.09 Cr,1828 ,Miyapur,approval by RERA
770,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 1.01 Cr,1695 ,Miyapur,approval by RERA
771,2 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 73.98 L,1233 ,Miyapur,approval by RERA
772,2 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 80.64 L,1344 ,Miyapur,approval by RERA
773,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 1.11 Cr,1866 ,Miyapur,approval by RERA
774,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 96.18 L,1603 ,Miyapur,approval by RERA
775,2 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 76.38 L,1273 ,Miyapur,approval by RERA
776,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 1 Cr,1678 ,Miyapur,approval by RERA
777,2 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 72.84 L,1214 ,Miyapur,approval by RERA
778,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 1.11 Cr,1853 ,Miyapur,approval by RERA
779,2 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 79.26 L,1321 ,Miyapur,approval by RERA
780,3 BHK Apartment in MRKR Meda Prestige,seller,Under Construction,"6,000 / sq ft", 1.07 Cr,1794 ,Miyapur,approval by RERA
781,2 BHK Apartment,seller,Under Construction,"2,166 / sq ft", 26 L,1200 ,Bhanur,not approval by RERA
782,3 BHK Apartment in Mirchi Taranto,seller,Under Construction,"4,895 / sq ft", 70 L,1430 ,Kollur,approval by RERA
783,3 BHK Apartment,seller,Under Construction,"5,548 / sq ft", 85.99 L,1550 ,Puppalaguda,not approval by RERA
784,3 BHK Independent House,seller,Ready to move,"3,277 / sq ft", 59 L,1800 ,Medchal,not approval by RERA
785,2 BHK Independent House,seller,Under Construction,"5,517 / sq ft", 72 L,1305 ,Nagaram,not approval by RERA
786,3 BHK Independent House,seller,Under Construction,"3,333 / sq ft", 60 L,1800 ,Medchal,not approval by RERA
787,2 BHK Apartment,seller,Ready to move,"4,173 / sq ft", 48 L,1150 ,Rajendra Nagar,not approval by RERA
788,3 BHK Apartment,seller,Ready to move,"5,200 / sq ft", 78 L,1500 ,LB Nagar,not approval by RERA
789,2 BHK Apartment,seller,Under Construction,"5,833 / sq ft", 1.4 Cr,2400 ,Khajaguda Nanakramguda Road,not approval by RERA
790,3 BHK Apartment,seller,Ready to move,"3,319 / sq ft", 47 L,1416 ,Mallampet,not approval by RERA
791,2 BHK Independent House,seller,Under Construction,"6,111 / sq ft", 55 L,900 ,Jai Suryapatnam,not approval by RERA
792,4 BHK Independent House,seller,Ready to move,"9,000 / sq ft", 3.6 Cr,4000 ,Amberpet,not approval by RERA
793,3 BHK Villa in Saket Bhu Sattva,seller,Ready to move,"8,888 / sq ft", 1.6 Cr,1800 ,Kompally,not approval by RERA
794,2 BHK Apartment,seller,Ready to move,"4,300 / sq ft", 47.73 L,1110 ,Boduppal,not approval by RERA
795,4 BHK Villa in CSK Green Villas,seller,Ready to move,"2,580 / sq ft", 62 L,2403 ,Shadnagar,not approval by RERA
796,4 BHK Villa in Vessella Woods,Vessella Group,Under Construction,"16,553 / sq ft", 7.04 Cr,4259 ,Serilingampally,approval by RERA
797,4 BHK Villa in Vessella Woods,Vessella Group,Under Construction,"16,000 / sq ft", 5.73 Cr,3584 ,Serilingampally,approval by RERA
798,4 BHK Villa in Vessella Woods,Vessella Group,Under Construction,"17,000 / sq ft", 6.17 Cr,3632 ,Serilingampally,approval by RERA
799,4 BHK Villa in Vessella Woods,Vessella Group,Under Construction,"16,000 / sq ft", 5.9 Cr,3693 ,Serilingampally,approval by RERA
800,4 BHK Villa in Vessella Woods,Vessella Group,Under Construction,"16,000 / sq ft", 5.77 Cr,3610 ,Serilingampally,approval by RERA
801,4 BHK Villa in Vessella Woods,Vessella Group,Under Construction,"17,000 / sq ft", 6.23 Cr,3665 ,Serilingampally,approval by RERA
802,3 BHK Apartment,seller,Ready to move,"5,681 / sq ft", 1.25 Cr,2200 ,Puppalaguda,not approval by RERA
803,2 BHK Apartment in Nikhil La Cresta,seller,Ready to move,"4,741 / sq ft", 55 L,1160 ,Malkajgiri,not approval by RERA
804,2 BHK Apartment,seller,Under Construction,"4,469 / sq ft", 56 L,1253 ,Nacharam,not approval by RERA
805,2 BHK Apartment,seller,Under Construction,"4,727 / sq ft", 52 L,1100 ,Nizampet,not approval by RERA
806,4 BHK Independent House,seller,Ready to move,"5,900 / sq ft", 1.18 Cr,2000 ,Chengicherla,not approval by RERA
807,2 BHK Apartment,seller,Ready to move,"4,636 / sq ft", 51 L,1100 ,Bandlaguda Jagir,not approval by RERA
808,2 BHK Apartment,seller,Ready to move,"5,842 / sq ft", 60 L,1027 ,Kothapet,not approval by RERA
809,2 BHK Independent House,seller,Ready to move,"6,250 / sq ft", 45 L,720 ,Malkajgiri,not approval by RERA
810,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 71.53 L,1431 ,Mallampet,approval by RERA
811,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 84.13 L,1683 ,Mallampet,approval by RERA
812,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 84.58 L,1692 ,Mallampet,approval by RERA
813,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 64.33 L,1287 ,Mallampet,approval by RERA
814,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 89.98 L,1800 ,Mallampet,approval by RERA
815,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 57.13 L,1143 ,Mallampet,approval by RERA
816,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 57.58 L,1152 ,Mallampet,approval by RERA
817,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 77.38 L,1548 ,Mallampet,approval by RERA
818,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 84.13 L,1683 ,Mallampet,approval by RERA
819,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 76.03 L,1521 ,Mallampet,approval by RERA
820,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 64.33 L,1287 ,Mallampet,approval by RERA
821,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 77.38 L,1548 ,Mallampet,approval by RERA
822,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 76.03 L,1521 ,Mallampet,approval by RERA
823,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 76.48 L,1530 ,Mallampet,approval by RERA
824,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 76.48 L,1530 ,Mallampet,approval by RERA
825,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 75.13 L,1503 ,Mallampet,approval by RERA
826,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 55.33 L,1107 ,Mallampet,approval by RERA
827,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 75.58 L,1512 ,Mallampet,approval by RERA
828,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 69.28 L,1386 ,Mallampet,approval by RERA
829,2 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 55.78 L,1116 ,Mallampet,approval by RERA
830,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 82.33 L,1647 ,Mallampet,approval by RERA
831,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 62.53 L,1251 ,Mallampet,approval by RERA
832,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 74.68 L,1494 ,Mallampet,approval by RERA
833,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 80.08 L,1602 ,Mallampet,approval by RERA
834,3 BHK Apartment in Engineers Sri Tirumala Millennium Phase II,EAPL Group,Under Construction,"4,999 / sq ft", 73.78 L,1476 ,Mallampet,approval by RERA
